Добавлена заметка 10;06/18/23:11:44:27
Список ID обновлен;06/19/23:17:58:25
Добавлена заметка 3;06/19/23:17:58:57
Список ID обновлен;06/19/23:17:58:57
Список ID обновлен;06/19/23:18:01:16
Сортировка списка прошла успешно;06/19/23:18:01:16
Список ID обновлен;06/19/23:18:01:16
Список ID обновлен;06/19/23:18:01:16
Список ID обновлен;06/19/23:18:01:38
Сортировка списка прошла успешно;06/19/23:18:01:38
Список ID обновлен;06/19/23:18:01:38
Список ID обновлен;06/19/23:18:01:42
Список ID обновлен;06/19/23:18:02:52
Сортировка списка прошла успешно;06/19/23:18:02:52
Список ID обновлен;06/19/23:18:02:52
Список ID обновлен;06/19/23:18:02:57
Список ID обновлен;06/19/23:18:06:21
Сортировка списка прошла успешно;06/19/23:18:06:21
Список ID обновлен;06/19/23:18:06:21
Список ID обновлен;06/19/23:18:06:25
Список ID обновлен;06/19/23:18:06:41
Сортировка списка прошла успешно;06/19/23:18:06:41
Список ID обновлен;06/19/23:18:06:41
Список ID обновлен;06/19/23:18:06:41
Список ID обновлен;06/19/23:18:07:05
Сортировка списка прошла успешно;06/19/23:18:07:05
Список ID обновлен;06/19/23:18:07:05
Список ID обновлен;06/19/23:18:07:05
Список ID обновлен;06/19/23:18:20:02
Сортировка списка прошла успешно;06/19/23:18:20:02
Список ID обновлен;06/19/23:18:20:02
Список ID обновлен;06/19/23:18:20:02
Добавлена заметка 11;06/19/23:18:20:05
Список ID обновлен;06/19/23:18:20:05
Список ID обновлен;06/19/23:18:20:16
Сортировка списка прошла успешно;06/19/23:18:20:16
Список ID обновлен;06/19/23:18:20:16
Добавлена заметка 7;06/19/23:18:20:17
Список ID обновлен;06/19/23:18:20:17
Список ID обновлен;06/19/23:18:20:32
Сортировка списка прошла успешно;06/19/23:18:20:32
Список ID обновлен;06/19/23:18:20:32
Вывод всех замето за 19-06-2023;06/19/23:18:20:34
Список ID обновлен;06/19/23:18:25:30
Сортировка списка прошла успешно;06/19/23:18:25:30
Список ID обновлен;06/19/23:18:25:30
Список ID обновлен;06/19/23:18:25:30
Список ID обновлен;06/19/23:18:25:35
Сортировка списка прошла успешно;06/19/23:18:25:35
Список ID обновлен;06/19/23:18:25:35
Открыта новая база данных, путь: D:/Code/GB_Developer/Python/Final Task/data/data.json;06/19/23:18:25:35
Список ID обновлен;06/19/23:18:37:33
Сортировка списка прошла успешно;06/19/23:18:37:33
Список ID обновлен;06/19/23:18:37:33
Список ID обновлен;06/19/23:18:37:33
Список ID обновлен;06/19/23:18:37:52
Сортировка списка прошла успешно;06/19/23:18:37:52
Список ID обновлен;06/19/23:18:37:52
Открыта новая база данных, путь: C:/Users/metro/Desktop/data.json;06/19/23:18:37:52
Список ID обновлен;06/19/23:18:38:10
Сортировка списка прошла успешно;06/19/23:18:38:10
Список ID обновлен;06/19/23:18:38:10
Открыта новая база данных, путь: D:/Code/GB_Developer/Python/Final Task/data/data.json;06/19/23:18:38:10
Список ID обновлен;06/19/23:18:41:46
Сортировка списка прошла успешно;06/19/23:18:41:46
Список ID обновлен;06/19/23:18:41:46
Список ID обновлен;06/19/23:18:41:46
Добавлена заметка 12;06/19/23:18:42:26
Список ID обновлен;06/19/23:18:42:26
Добавлена заметка 13;06/19/23:18:43:12
Список ID обновлен;06/19/23:18:43:12
Запрошен поиск 13;06/19/23:18:43:20
Удалена заметка 13;06/19/23:18:43:22
Список ID обновлен;06/19/23:18:43:22
Список ID обновлен;06/19/23:18:44:02
Сортировка списка прошла успешно;06/19/23:18:44:02
Список ID обновлен;06/19/23:18:44:02
Открыта новая база данных, путь: C:/Users/metro/Desktop/data.json;06/19/23:18:44:02
Вывод всех замето за 19-06-2023;06/19/23:18:44:07
Запрошен поиск 2;06/19/23:18:44:36
Список ID обновлен;06/19/23:18:45:08
Сортировка списка прошла успешно;06/19/23:18:45:08
Список ID обновлен;06/19/23:18:45:08
Список ID обновлен;06/19/23:18:45:08
Список ID обновлен;06/19/23:18:51:39
Сортировка списка прошла успешно;06/19/23:18:51:39
Список ID обновлен;06/19/23:18:51:39
Список ID обновлен;06/19/23:18:51:39
Вывод всех замето за 19-06-2023;06/19/23:18:51:41
Список ID обновлен;06/19/23:18:52:15
Сортировка списка прошла успешно;06/19/23:18:52:15
Список ID обновлен;06/19/23:18:52:15
Список ID обновлен;06/19/23:18:52:15
Вывод всех замето за 19-06-2023;06/19/23:18:52:17
Вывод всех замето за ;06/19/23:18:52:20
Вывод всех замето за ;06/19/23:18:52:23
Вывод всех замето за 19-06-2023;06/19/23:18:52:31
Вывод всех замето за ;06/19/23:18:52:43
Список ID обновлен;06/19/23:19:03:23
Сортировка списка прошла успешно;06/19/23:19:03:23
Список ID обновлен;06/19/23:19:03:23
Список ID обновлен;06/19/23:19:03:23
Добавлена заметка 13;06/19/23:19:03:26
Список ID обновлен;06/19/23:19:03:26
Список ID обновлен;06/19/23:19:03:30
Сортировка списка прошла успешно;06/19/23:19:03:30
Список ID обновлен;06/19/23:19:03:30
Список ID обновлен;06/19/23:19:03:30
Вывод всех замето за 19-06-2023;06/19/23:19:03:32
Запрошен поиск 11;06/19/23:19:03:39
Удалена заметка 11;06/19/23:19:03:40
Список ID обновлен;06/19/23:19:03:40
Вывод всех замето за 19-06-2023;06/19/23:19:03:42
Список ID обновлен;06/19/23:19:03:47
Сортировка списка прошла успешно;06/19/23:19:03:47
Список ID обновлен;06/19/23:19:03:47
Список ID обновлен;06/19/23:19:03:47
Вывод всех замето за 19-06-2023;06/19/23:19:03:49
Список ID обновлен;06/19/23:19:03:53
Сортировка списка прошла успешно;06/19/23:19:03:53
Список ID обновлен;06/19/23:19:03:53
Список ID обновлен;06/19/23:19:03:53
Вывод всех замето за 19-06-2023;06/19/23:19:03:54
Список ID обновлен;06/19/23:19:03:57
Сортировка списка прошла успешно;06/19/23:19:03:57
Список ID обновлен;06/19/23:19:03:57
Список ID обновлен;06/19/23:19:03:57
Вывод всех замето за 19-06-2023;06/19/23:19:03:59
Список ID обновлен;06/19/23:19:04:04
Сортировка списка прошла успешно;06/19/23:19:04:04
Список ID обновлен;06/19/23:19:04:04
Список ID обновлен;06/19/23:19:04:04
Вывод всех замето за 19-06-2023;06/19/23:19:04:05
Список ID обновлен;04/30/24:18:56:24
Сортировка списка прошла успешно;04/30/24:18:56:24
Список ID обновлен;04/30/24:18:56:24
Список ID обновлен;04/30/24:18:56:24
